timestamp,key
1747435032.7837842,space_press
1747435032.8542192,space_release
1747435033.5498807,space_press
1747435033.6117947,space_release
1747435033.7258887,space_press
1747435033.7712686,space_release
1747435033.8923986,space_press
1747435033.940998,space_release
1747435034.0891392,space_press
1747435034.141915,space_release
1747435034.2853565,space_press
1747435034.3252344,space_release
1747435034.458959,space_press
1747435034.4900813,space_release
1747435034.6187463,space_press
1747435034.6618445,space_release
1747435270.3581097,space_press
1747435270.4304392,space_release
1747435272.8206034,space_press
1747435272.9461539,space_release
1747435305.797851,ctrl_l_press
1747435306.2294712,'\x03'_press
1747435306.3380194,\x03_release
1747435306.3763037,ctrl_l_release
1747435309.4817727,up_press
1747435309.6474955,up_release
1747435556.753254,space_press
1747435556.935293,space_release
1747435558.6649268,space_press
1747435558.8381684,space_release
1747435567.3638697,space_press
1747435567.4982066,space_release
1747435594.9291825,space_press
1747435595.0271273,space_release
1747435597.727572,space_press
1747435597.8946116,space_release
1747435598.8217125,space_press
1747435598.9761038,space_release
1747435599.4054546,space_press
1747435599.5516086,space_release
1747435599.833462,space_press
1747435599.995203,space_release
1747435600.166977,space_press
1747435600.2889688,space_release
1747435600.405375,space_press
1747435600.508009,space_release
1747435600.6231787,space_press
1747435600.739376,space_release
1747435600.841563,space_press
1747435600.9413702,space_release
1747435601.0558348,space_press
1747435601.1443558,space_release
1747435601.2461243,space_press
1747435601.358648,space_release
1747435601.4654012,space_press
1747435601.5625482,space_release
1747435601.6569142,space_press
1747435601.7727594,space_release
1747435601.8795397,space_press
1747435602.006577,space_release
1747435602.1192613,space_press
1747435602.2282903,space_release
1747435603.0076053,space_press
1747435603.1551466,space_release
1747435604.2702217,space_press
1747435604.3986845,space_release
1747435605.5134947,space_press
1747435605.6610334,space_release
1747435606.9346778,space_press
1747435607.0652015,space_release
1747435608.5764382,space_press
1747435608.7467961,space_release
1747435609.7626626,space_press
1747435609.897887,space_release
1747435610.5840285,space_press
1747435610.7749505,space_release
1747435612.1799552,space_press
1747435612.3402169,space_release
1747435613.0493937,space_press
1747435613.2207344,space_release
1747435614.120829,space_press
1747435614.3088315,space_release
1747435615.4492214,space_press
1747435615.6553457,space_release
1747435616.4395359,space_press
1747435616.6277983,space_release
1747435617.3550527,space_press
1747435617.5285988,space_release
1747435618.2776062,space_press
1747435618.4780202,space_release
1747435619.2698107,space_press
1747435619.4608839,space_release
1747435620.2968726,space_press
1747435620.4997115,space_release
1747435621.3132522,space_press
1747435621.5059376,space_release
1747435622.2855687,space_press
1747435622.4893396,space_release
1747435623.2460115,space_press
1747435623.437162,space_release
1747435624.1760845,space_press
1747435624.3886228,space_release
1747435625.1228418,space_press
1747435625.3276448,space_release
1747435626.0770624,space_press
1747435626.2547848,space_release
1747435626.966946,space_press
1747435627.1460004,space_release
1747435627.8335373,space_press
1747435628.0119953,space_release
1747435628.7019866,space_press
1747435628.8691182,space_release
1747435629.5141435,space_press
1747435629.7214024,space_release
1747435630.333656,space_press
1747435630.5435,space_release
1747435631.1587873,space_press
1747435631.3645163,space_release
1747435632.0209453,space_press
1747435632.2134094,space_release
1747435633.2089252,space_press
1747435633.3844197,space_release
1747435634.2956276,space_press
1747435634.4560432,space_release
1747435635.378346,space_press
1747435635.5032473,space_release
1747435636.436632,space_press
1747435636.5877957,space_release
1747435637.475107,space_press
1747435637.648886,space_release
1747435638.4581938,space_press
1747435638.6527734,space_release
1747435639.4525764,space_press
1747435639.741489,space_release
1747435640.4221663,space_press
1747435640.9271636,space_press
1747435640.9586365,space_press
1747435640.990853,space_press
1747435641.0208802,space_press
1747435641.051121,space_press
1747435641.0816169,space_press
1747435641.1119602,space_press
1747435641.14219,space_press
1747435641.171819,space_press
1747435641.2025826,space_press
1747435641.233738,space_press
1747435641.2627046,space_press
1747435641.293569,space_press
1747435641.3234184,space_press
1747435641.3541949,space_press
1747435641.3844914,space_press
1747435641.414705,space_press
1747435641.4452477,space_press
1747435641.4748685,space_press
1747435641.5062182,space_press
1747435641.536263,space_press
1747435641.5671222,space_press
1747435641.5974758,space_press
1747435641.627822,space_press
1747435641.6581016,space_press
1747435641.6884034,space_press
1747435641.718635,space_press
1747435641.7492225,space_press
1747435641.7793076,space_press
1747435641.8098092,space_press
1747435641.8404925,space_press
1747435641.8565989,space_release
1747435643.1226497,space_press
1747435643.2773306,space_release
1747435644.5227542,space_press
1747435644.6680498,space_release
1747435645.7617133,space_press
1747435645.986065,space_release
1747435647.1273885,space_press
1747435647.3577967,space_release
1747435648.399609,space_press
1747435648.628225,space_release
1747435649.743165,space_press
1747435649.9338713,space_release
1747435650.964499,space_press
1747435651.2057335,space_release
1747435652.3047833,space_press
1747435652.5217254,space_release
1747435653.5016186,space_press
1747435653.7206264,space_release
1747435654.6874259,space_press
1747435654.9293668,space_release
1747435676.0802343,'c'_press
